sujeto	ciudad	año	PIBI	nute	ciunu	tiempo
5	Bogotá	2009	49510	6	5	10
5	Bogotá	2010	51484	6	5	11
6	Bolivar	2000	10932	1	6	1
6	Bolivar	2001	11946	1	6	2
6	Bolivar	2002	12769	1	6	3
6	Bolivar	2003	16213	1	6	4
6	Bolivar	2004	18538	1	6	5
6	Bolivar	2005	19769	1	6	6
6	Bolivar	2006	22466	1	6	7
6	Bolivar	2007	25375	1	6	8
6	Bolivar	2008	27124	1	6	9
6	Bolivar	2009	27325	1	6	10
6	Bolivar	2010	29830	1	6	11
7	Boyacá	2000	12621	6	7	1
7	Boyacá	2001	13304	6	7	2
7	Boyacá	2002	14677	6	7	3
7	Boyacá	2003	16205	6	7	4
7	Boyacá	2004	17329	6	7	5
7	Boyacá	2005	19103	6	7	6
7	Boyacá	2006	21320	6	7	7
7	Boyacá	2007	25432	6	7	8
7	Boyacá	2008	29127	6	7	9
7	Boyacá	2009	30465	6	7	10
7	Boyacá	2010	32259	6	7	11
8	caldas	2000	9991	6	8	1
8	caldas	2001	11141	6	8	2
8	caldas	2002	12498	6	8	3
8	caldas	2003	13745	6	8	4
8	caldas	2004	14937	6	8	5
8	caldas	2005	16652	6	8	6
8	caldas	2006	18547	6	8	7
8	caldas	2007	20445	6	8	8
8	caldas	2008	22092	6	8	9
8	caldas	2009	22624	6	8	10
8	caldas	2010	23837	6	8	11
9	caqueta	2000	6548	3	9	1
9	caqueta	2001	6953	3	9	2
9	caqueta	2002	7248	3	9	3
9	caqueta	2003	8439	3	9	4
9	caqueta	2004	9078	3	9	5
9	caqueta	2005	9857	3	9	6
9	caqueta	2006	10637	3	9	7
9	caqueta	2007	11702	3	9	8
9	caqueta	2008	12880	3	9	9
9	caqueta	2009	13913	3	9	10
9	caqueta	2010	14250	3	9	11
10	casanare	2000	70186	4	10	1
10	casanare	2001	61369	4	10	2
10	casanare	2002	55567	4	10	3
10	casanare	2003	64689	4	10	4
10	casanare	2004	59653	4	10	5
10	casanare	2005	64374	4	10	6
10	casanare	2006	66082	4	10	7
10	casanare	2007	62095	4	10	8
10	casanare	2008	79430	4	10	9
10	casanare	2009	72541	4	10	10
10	casanare	2010	81269	4	10	11
11	cauca	2000	6320	2	11	1
11	cauca	2001	7046	2	11	2
11	cauca	2002	7858	2	11	3
11	cauca	2003	8350	2	11	4
11	cauca	2004	9787	2	11	5
11	cauca	2005	10557	2	11	6
11	cauca	2006	11787	2	11	7
11	cauca	2007	12606	2	11	8
11	cauca	2008	13831	2	11	9
11	cauca	2009	15060	2	11	10
11	cauca	2010	16557	2	11	11
12	cesar	2000	9304	1	12	1
12	cesar	2001	10898	1	12	2
12	cesar	2002	12241	1	12	3
12	cesar	2003	14234	1	12	4
12	cesar	2004	16916	1	12	5
12	cesar	2005	19154	1	12	6
12	cesar	2006	21355	1	12	7
12	cesar	2007	22639	1	12	8
12	cesar	2008	27663	1	12	9
12	cesar	2009	29547	1	12	10
12	cesar	2010	30038	1	12	11
13	choco	2000	4504	2	13	1
13	choco	2001	4748	2	13	2
13	choco	2002	5010	2	13	3
13	choco	2003	6121	2	13	4
13	choco	2004	7168	2	13	5
13	choco	2005	7778	2	13	6
13	choco	2006	8453	2	13	7
13	choco	2007	8924	2	13	8
13	choco	2008	10171	2	13	9
13	choco	2009	12426	2	13	10
13	choco	2010	15979	2	13	11
14	cordoba	2000	8435	1	14	1
14	cordoba	2001	8798	1	14	2
14	cordoba	2002	9248	1	14	3
14	cordoba	2003	10909	1	14	4
14	cordoba	2004	12881	1	14	5
14	cordoba	2005	13453	1	14	6
14	cordoba	2006	15478	1	14	7
14	cordoba	2007	18601	1	14	8
14	cordoba	2008	16346	1	14	9
14	cordoba	2009	16547	1	14	10
14	cordoba	2010	17585	1	14	11
15	cundinamarca	2000	14539	6	15	1
15	cundinamarca	2001	16144	6	15	2
15	cundinamarca	2002	16999	6	15	3
15	cundinamarca	2003	18561	6	15	4
15	cundinamarca	2004	19830	6	15	5
15	cundinamarca	2005	21480	6	15	6
15	cundinamarca	2006	22989	6	15	7
15	cundinamarca	2007	25353	6	15	8
15	cundinamarca	2008	27650	6	15	9
15	cundinamarca	2009	29104	6	15	10
15	cundinamarca	2010	30336	6	15	11
16	guainia	2000	7360	3	16	1
16	guainia	2001	7927	3	16	2
16	guainia	2002	7825	3	16	3
16	guainia	2003	6211	3	16	4
16	guainia	2004	7440	3	16	5
16	guainia	2005	8554	3	16	6
16	guainia	2006	10242	3	16	7
16	guainia	2007	10068	3	16	8
16	guainia	2008	11599	3	16	9
16	guainia	2009	12571	3	16	10
16	guainia	2010	13224	3	16	11
17	guaviare	2000	7293	3	17	1
17	guaviare	2001	7247	3	17	2
17	guaviare	2002	7893	3	17	3
17	guaviare	2003	7167	3	17	4
17	guaviare	2004	7738	3	17	5
17	guaviare	2005	8946	3	17	6
17	guaviare	2006	10013	3	17	7
17	guaviare	2007	11577	3	17	8
17	guaviare	2008	12194	3	17	9
17	guaviare	2009	12708	3	17	10
17	guaviare	2010	12915	3	17	11
18	Huila	2000	11298	6	18	1
18	Huila	2001	11404	6	18	2
18	Huila	2002	12558	6	18	3
18	Huila	2003	12912	6	18	4
18	Huila	2004	15833	6	18	5
18	Huila	2005	16968	6	18	6
18	Huila	2006	18109	6	18	7
18	Huila	2007	19751	6	18	8
18	Huila	2008	23055	6	18	9
18	Huila	2009	23164	6	18	10
18	Huila	2010	25409	6	18	11
19	Guajira	2000	9559	1	19	1
19	Guajira	2001	12022	1	19	2
19	Guajira	2002	10620	1	19	3
19	Guajira	2003	12379	1	19	4
19	Guajira	2004	13987	1	19	5
19	Guajira	2005	16269	1	19	6
19	Guajira	2006	17495	1	19	7
19	Guajira	2007	17200	1	19	8
19	Guajira	2008	22187	1	19	9
19	Guajira	2009	22369	1	19	10
19	Guajira	2010	21972	1	19	11
20	Magdalena	2000	6863	1	20	1
20	Magdalena	2001	7804	1	20	2
20	Magdalena	2002	8468	1	20	3
20	Magdalena	2003	9055	1	20	4
20	Magdalena	2004	9934	1	20	5
20	Magdalena	2005	11225	1	20	6
20	Magdalena	2006	12018	1	20	7
20	Magdalena	2007	13384	1	20	8
20	Magdalena	2008	15044	1	20	9
20	Magdalena	2009	16277	1	20	10
20	Magdalena	2010	16701	1	20	11
21	Meta	2000	16089	4	21	1
21	Meta	2001	16199	4	21	2
21	Meta	2002	17344	4	21	3
21	Meta	2003	19171	4	21	4
21	Meta	2004	22927	4	21	5
21	Meta	2005	26076	4	21	6
21	Meta	2006	31111	4	21	7
21	Meta	2007	33591	4	21	8
21	Meta	2008	47913	4	21	9
21	Meta	2009	51807	4	21	10
21	Meta	2010	71324	4	21	11
22	Nariño	2000	5824	2	22	1
22	Nariño	2001	6355	2	22	2
22	Nariño	2002	6978	2	22	3
22	Nariño	2003	7903	2	22	4
22	Nariño	2004	8934	2	22	5
22	Nariño	2005	9516	2	22	6
22	Nariño	2006	10988	2	22	7
22	Nariño	2007	11858	2	22	8
22	Nariño	2008	12602	2	22	9
22	Nariño	2009	13302	2	22	10
22	Nariño	2010	13920	2	22	11
23	Nsantander	2000	8388	5	23	1
23	Nsantander	2001	9025	5	23	2
23	Nsantander	2002	10077	5	23	3
23	Nsantander	2003	10773	5	23	4
23	Nsantander	2004	11609	5	23	5
23	Nsantander	2005	12099	5	23	6
23	Nsantander	2006	14079	5	23	7
23	Nsantander	2007	15569	5	23	8
23	Nsantander	2008	17684	5	23	9
23	Nsantander	2009	19153	5	23	10
23	Nsantander	2010	19574	5	23	11
24	Putumayo	2000	7075	3	24	1
24	Putumayo	2001	6578	3	24	2
24	Putumayo	2002	6602	3	24	3
24	Putumayo	2003	6919	3	24	4
24	Putumayo	2004	8394	3	24	5
24	Putumayo	2005	9037	3	24	6
24	Putumayo	2006	10561	3	24	7
24	Putumayo	2007	12052	3	24	8
24	Putumayo	2008	16032	3	24	9
24	Putumayo	2009	18051	3	24	10
24	Putumayo	2010	22928	3	24	11
25	Quindio	2000	10541	6	25	1
25	Quindio	2001	11690	6	25	2
25	Quindio	2002	12069	6	25	3
25	Quindio	2003	11801	6	25	4
25	Quindio	2004	12296	6	25	5
25	Quindio	2005	13988	6	25	6
25	Quindio	2006	16555	6	25	7
25	Quindio	2007	18004	6	25	8
25	Quindio	2008	18986	6	25	9
25	Quindio	2009	20034	6	25	10
25	Quindio	2010	20974	6	25	11
26	Risaralda	2000	10286	6	26	1
26	Risaralda	2001	11120	6	26	2
26	Risaralda	2002	11871	6	26	3
26	Risaralda	2003	12979	6	26	4
26	Risaralda	2004	14909	6	26	5
26	Risaralda	2005	16770	6	26	6
26	Risaralda	2006	19034	6	26	7
26	Risaralda	2007	20292	6	26	8
26	Risaralda	2008	21821	6	26	9
26	Risaralda	2009	23154	6	26	10
26	Risaralda	2010	24163	6	26	11
27	Sanandres	2000	13401	1	27	1
27	Sanandres	2001	13985	1	27	2
27	Sanandres	2002	16586	1	27	3
27	Sanandres	2003	16881	1	27	4
27	Sanandres	2004	18965	1	27	5
27	Sanandres	2005	20115	1	27	6
27	Sanandres	2006	22319	1	27	7
27	Sanandres	2007	25594	1	27	8
27	Sanandres	2008	27068	1	27	9
27	Sanandres	2009	29079	1	27	10
27	Sanandres	2010	29370	1	27	11
28	Santander	2000	17266	5	28	1
28	Santander	2001	19300	5	28	2
28	Santander	2002	21113	5	28	3
28	Santander	2003	23656	5	28	4
28	Santander	2004	27978	5	28	5
28	Santander	2005	32396	5	28	6
28	Santander	2006	37154	5	28	7
28	Santander	2007	42313	5	28	8
28	Santander	2008	48325	5	28	9
28	Santander	2009	46840	5	28	10
28	Santander	2010	53755	5	28	11
29	Sucre	2000	6306	1	29	1
29	Sucre	2001	6973	1	29	2
29	Sucre	2002	7247	1	29	3
29	Sucre	2003	7669	1	29	4
29	Sucre	2004	8758	1	29	5
29	Sucre	2005	9397	1	29	6
29	Sucre	2006	10818	1	29	7
29	Sucre	2007	11757	1	29	8
29	Sucre	2008	12918	1	29	9
29	Sucre	2009	14143	1	29	10
29	Sucre	2010	14265	1	29	11
30	Tolima	2000	10289	6	30	1
30	Tolima	2001	11560	6	30	2
30	Tolima	2002	11952	6	30	3
30	Tolima	2003	12693	6	30	4
30	Tolima	2004	14364	6	30	5
30	Tolima	2005	15594	6	30	6
30	Tolima	2006	17880	6	30	7
30	Tolima	2007	20246	6	30	8
30	Tolima	2008	23104	6	30	9
30	Tolima	2009	23331	6	30	10
30	Tolima	2010	24072	6	30	11
31	Valle	2000	15786	2	31	1
31	Valle	2001	16943	2	31	2
31	Valle	2002	18193	2	31	3
31	Valle	2003	19575	2	31	4
31	Valle	2004	21431	2	31	5
31	Valle	2005	22719	2	31	6
31	Valle	2006	25659	2	31	7
31	Valle	2007	28848	2	31	8
31	Valle	2008	30631	2	31	9
31	Valle	2009	32451	2	31	10
31	Valle	2010	33973	2	31	11
32	Vaupes	2000	5305	3	32	1
32	Vaupes	2001	5642	3	32	2
32	Vaupes	2002	6849	3	32	3
32	Vaupes	2003	5733	3	32	4
32	Vaupes	2004	5721	3	32	5
32	Vaupes	2005	5999	3	32	6
32	Vaupes	2006	6205	3	32	7
32	Vaupes	2007	7361	3	32	8
32	Vaupes	2008	7886	3	32	9
32	Vaupes	2009	8400	3	32	10
32	Vaupes	2010	9103	3	32	11
33	Vichada	2000	7395	4	33	1
33	Vichada	2001	8697	4	33	2
33	Vichada	2002	9728	4	33	3
33	Vichada	2003	9635	4	33	4
33	Vichada	2004	10104	4	33	5
33	Vichada	2005	11033	4	33	6
33	Vichada	2006	11944	4	33	7
33	Vichada	2007	13353	4	33	8
33	Vichada	2008	14357	4	33	9
33	Vichada	2009	15493	4	33	10
33	Vichada	2010	17470	4	33	11
